2025-10-23 13:48:33,370 - INFO - Loading books from ../../data/processed/sample_50_books.csv
2025-10-23 13:48:33,378 - INFO - Robust automated searcher initialized
2025-10-23 13:48:33,378 - INFO - Starting robust automated search for 2 books
2025-10-23 13:49:24,726 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 2, attempt 1, URL: https://annas-archive.net)
2025-10-23 13:49:27,015 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 2, attempt 2, URL: https://annas-archive.org)
2025-10-23 13:49:27,074 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 2, attempt 2, URL: https://annas-archive.li)
2025-10-23 13:49:27,134 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 2, attempt 2, URL: https://annas-archive.net)
2025-10-23 13:49:30,826 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 2, attempt 3, URL: https://annas-archive.org)
2025-10-23 13:49:30,890 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 2, attempt 3, URL: https://annas-archive.li)
2025-10-23 13:49:30,954 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 2, attempt 3, URL: https://annas-archive.net)
2025-10-23 13:49:33,041 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 3, attempt 1, URL: https://annas-archive.org)
2025-10-23 13:49:33,104 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 3, attempt 1, URL: https://annas-archive.li)
2025-10-23 13:49:33,164 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 3, attempt 1, URL: https://annas-archive.net)
2025-10-23 13:49:35,854 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 3, attempt 2, URL: https://annas-archive.org)
2025-10-23 13:49:35,914 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 3, attempt 2, URL: https://annas-archive.li)
2025-10-23 13:49:35,968 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 3, attempt 2, URL: https://annas-archive.net)
2025-10-23 13:49:39,847 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 3, attempt 3, URL: https://annas-archive.org)
2025-10-23 13:49:39,928 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 3, attempt 3, URL: https://annas-archive.li)
2025-10-23 13:49:40,003 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 3, attempt 3, URL: https://annas-archive.net)
2025-10-23 13:49:42,042 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 4, attempt 1, URL: https://annas-archive.org)
2025-10-23 13:49:42,104 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 4, attempt 1, URL: https://annas-archive.li)
2025-10-23 13:49:42,172 - INFO - Searching: Fifty Shades Darker by E.L. James (strategy 4, attempt 1, URL: https://annas-archive.net)
